,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,ano,hora_bruta
647,1,7,9,1,1,1,2018,8
648,1,50,9,1,1,1,2018,8
649,1,46,9,1,1,1,2018,10
650,1,13,9,1,1,1,2018,11
651,1,67,9,1,1,1,2018,12
652,1,0,9,1,1,1,2018,12
653,1,39,9,1,1,1,2018,12
654,1,75,9,1,1,1,2018,12
655,1,87,9,1,1,1,2018,12
656,0,76,9,1,1,1,2018,12
657,0,13,9,1,1,1,2018,13
658,1,74,9,1,1,1,2018,13
659,1,40,9,1,1,1,2018,14
660,1,46,9,1,1,1,2018,15
661,1,39,9,1,1,1,2018,16
662,1,58,9,1,1,1,2018,16
663,1,48,9,1,1,1,2018,17
664,1,42,9,1,1,1,2018,17
665,1,75,9,1,1,1,2018,17
666,0,47,9,1,1,1,2018,18
667,1,14,9,1,1,1,2018,18
668,1,40,9,1,1,1,2018,19
669,1,58,9,1,1,1,2018,20
670,1,50,9,1,1,1,2018,23
671,1,78,9,1,1,1,2018,23
672,1,69,9,1,2,1,2018,3
673,1,49,6,1,2,1,2018,6
674,1,48,9,1,2,1,2018,7
675,1,8,9,1,2,1,2018,7
676,1,73,9,1,2,1,2018,7
677,0,75,9,1,2,1,2018,7
678,1,49,9,1,2,1,2018,7
679,1,92,9,1,2,1,2018,7
680,1,34,9,1,2,1,2018,8
681,1,81,9,1,2,1,2018,8
682,0,37,9,1,2,1,2018,8
683,0,31,9,1,2,1,2018,8
684,1,75,9,1,2,1,2018,8
685,1,24,6,1,2,1,2018,9
686,1,85,9,1,2,1,2018,9
687,0,78,10,1,2,1,2018,9
688,1,90,9,1,2,1,2018,11
689,1,1,9,1,2,1,2018,11
690,1,12,9,1,2,1,2018,11
691,1,81,9,1,2,1,2018,12
692,1,1,9,1,2,1,2018,12
693,1,73,9,1,2,1,2018,12
694,1,81,9,1,2,1,2018,13
695,1,47,9,1,2,1,2018,14
696,1,73,9,1,2,1,2018,14
697,1,58,9,1,2,1,2018,14
698,0,7,9,1,2,1,2018,15
699,1,34,9,1,2,1,2018,16
700,1,24,9,1,2,1,2018,16
701,1,47,13,1,2,1,2018,17
702,1,78,9,1,2,1,2018,17
703,1,9,9,1,2,1,2018,17
704,0,78,3,1,2,1,2018,18
705,1,42,9,1,2,1,2018,18
706,1,14,9,1,2,1,2018,18
707,1,34,9,1,2,1,2018,19
708,1,49,9,1,3,1,2018,0
709,1,1,9,1,3,1,2018,6
710,1,12,9,1,3,1,2018,7
711,1,1,9,1,3,1,2018,7
712,1,8,9,1,3,1,2018,8
713,1,1,9,1,3,1,2018,9
714,1,90,9,1,3,1,2018,9
715,1,49,9,1,3,1,2018,9
716,1,12,9,1,3,1,2018,10
717,1,81,9,1,3,1,2018,10
718,1,58,9,1,3,1,2018,10
719,1,73,9,1,3,1,2018,11
720,1,14,9,1,3,1,2018,11
721,1,83,9,1,3,1,2018,12
722,1,25,9,1,3,1,2018,13
